"n","dropoutrate","dropoutperiod","period","thresh","inv","scr","reinv","nonatt","monitor","dropout","oppdet","consult","elecevar","elecopen","rupt","emerevar","emeropen","reintelecevar","reintemerevar","reintemeropen","aaadead","nonaaadead"
1e+06,0.1,1,0.25,5.5,1000000,1000000,NA,NA,7788956,330860,106663,817903,326782,159626,139582,11511,40072,125257,125257,11660,145418,834146
1e+06,0.1,1,0.5,5.5,1000000,1000000,NA,NA,7712461,331341,106745,814101,326431,159491,139880,11535,40118,125064,125064,11694,145634,833937
1e+06,0.1,1,1,5.5,1000000,1000000,NA,NA,7566813,332688,107013,805000,325214,159231,140832,11599,40449,124314,124314,11811,146243,833336
1e+06,0.1,1,2,5.5,1000000,1000000,NA,NA,6472911,336169,107636,777413,320751,158446,143883,11802,41383,121896,121896,12182,148321,831297
1e+06,0.1,1,3,5.5,1000000,1000000,NA,NA,5457268,343098,109026,739063,311964,156536,150645,12291,43418,116870,116870,12946,152776,826943
1e+06,0.1,1,4,5.5,1000000,1000000,NA,NA,4548202,352851,110899,691227,298195,152766,161745,13110,46554,109923,109923,14083,160401,819551
1e+06,0.1,1,5,5.5,1000000,1000000,NA,NA,3762563,365053,113119,635732,279844,146397,177894,14295,51414,100523,100523,15870,171217,809069
