"n","dropoutrate","dropoutperiod","period","thresh","inv","scr","reinv","nonatt","monitor","dropout","oppdet","consult","elecevar","elecopen","rupt","emerevar","emeropen","reintelecevar","reintemerevar","reintemeropen","aaadead","nonaaadead"
1e+06,0.1,2,0.25,7,1000000,1000000,NA,NA,7909787,364631,117279,758054,313020,154399,151774,12387,43655,118547,118547,12830,153761,826109
1e+06,0.1,2,0.5,7,1000000,1000000,NA,NA,7815684,364627,117279,758043,313066,154379,151740,12387,43653,118518,118518,12833,153750,826120
1e+06,0.1,2,1,7,1000000,1000000,NA,NA,7613506,364665,117280,757771,313046,154376,151705,12393,43638,118555,118555,12823,153732,826140
1e+06,0.1,2,2,7,1000000,1000000,NA,NA,6273590,364454,117078,757132,313028,154509,151819,12441,43669,118654,118654,12822,153754,826121
1e+06,0.1,2,3,7,1000000,1000000,NA,NA,5299417,371031,118343,720416,304480,152745,158171,12899,45548,113916,113916,13528,158017,821936
1e+06,0.1,2,4,7,1000000,1000000,NA,NA,4425532,380583,120256,674032,291146,149206,168813,13678,48642,107223,107223,14675,165229,814929
1e+06,0.1,2,5,7,1000000,1000000,NA,NA,3669409,392322,122421,620770,273464,142911,184481,14854,53354,98008,98008,16435,175791,804702
