"n","dropoutrate","dropoutperiod","period","thresh","inv","scr","reinv","nonatt","monitor","dropout","oppdet","consult","elecevar","elecopen","rupt","emerevar","emeropen","reintelecevar","reintemerevar","reintemeropen","aaadead","nonaaadead"
1e+06,0.1,2,0.25,5.5,1000000,1000000,NA,NA,7587363,356704,115676,798960,319881,156402,146080,11984,41925,122450,122450,12137,149969,829812
1e+06,0.1,2,0.5,5.5,1000000,1000000,NA,NA,7510727,357137,115751,795258,319557,156296,146353,12002,41992,122264,122264,12183,150136,829649
1e+06,0.1,2,1,5.5,1000000,1000000,NA,NA,7365148,358573,116051,786079,318359,155970,147326,12085,42293,121513,121513,12293,150788,829008
1e+06,0.1,2,2,5.5,1000000,1000000,NA,NA,6273109,364428,117073,757239,313060,154516,151795,12438,43663,118669,118669,12820,153734,826139
1e+06,0.1,2,3,5.5,1000000,1000000,NA,NA,5299071,370994,118337,720559,304532,152761,158130,12895,45534,113945,113945,13522,157988,821963
1e+06,0.1,2,4,5.5,1000000,1000000,NA,NA,4425245,380530,120247,674213,291231,149225,168748,13670,48624,107264,107264,14667,165181,814975
1e+06,0.1,2,5,5.5,1000000,1000000,NA,NA,3669164,392261,122413,621003,273584,142945,184379,14843,53325,98069,98069,16424,175717,804774
