"n","delayscr","inv","scr","reinv","nonatt","monitor","dropout","oppdet","consult","elecevar","elecopen","rupt","emerevar","emeropen","reintelecevar","reintemerevar","reintemeropen","aaadead","nonaaadead"
1000,0.25,994,730,159,264,233,11,25,22,7,6,10,NA,3,4,4,1,7,911
1000,0.5,994,730,159,264,229,11,25,22,7,6,10,NA,3,4,4,1,7,911
1000,1,992,728,159,264,229,11,25,22,7,6,10,NA,3,4,4,1,7,911
1000,2,972,711,155,261,224,11,25,25,7,6,10,NA,3,4,4,1,7,911
1000,3,962,702,153,260,219,10,25,24,7,6,10,NA,3,4,4,1,7,911
1000,4,950,691,153,259,207,10,25,20,7,5,11,NA,3,4,4,1,8,910
1000,5,934,679,150,255,203,10,25,22,7,5,11,NA,3,4,4,1,8,910
1000,0,1000,735,160,265,230,11,25,22,7,6,10,NA,3,4,4,1,7,911
