# This file contains a set of distributions for the baseline aorta diameter. ,,,,,,
size,size_str,fw,pw,pwstar,pwstar2,pwstar3
9.8,9.8,1,1.43E-06,5.29E-06,1.67E-05,1.31E-05
9.9,9.9,1,1.43E-06,5.29E-06,1.69E-05,1.33E-05
10,10,2,2.86E-06,1.06E-05,3.42E-05,2.69E-05
10.1,10.1,0,0,0,0,0
10.2,10.2,1,1.43E-06,5.29E-06,1.75E-05,1.37E-05
10.3,10.3,0,0,0,0,0
10.4,10.4,0,0,0,0,0
10.5,10.5,0,0,0,0,0
10.6,10.6,1,1.43E-06,5.29E-06,1.83E-05,1.43E-05
10.7,10.7,0,0,0,0,0
10.8,10.8,1,1.43E-06,5.29E-06,1.86E-05,1.46E-05
10.9,10.9,0,0,0,0,0
11,11,0,0,0,0,0
11.1,11.1,1,1.43E-06,5.29E-06,1.92E-05,1.51E-05
