age,diameter,prob,calc,,
71,4,0.003084532,0.003084532,,
71,4.1,0.002746144,0.002746144,,
71,4.2,0.002550921,0.002550921,,
71,4.3,0.002967398,0.002967398,,
71,4.4,0.002160474,0.002160474,,
71,4.5,0.001249431,0.001249431,,
71,4.6,0.001431639,0.001431639,,
71,4.7,0.001470684,0.001470684,,
71,4.8,0.001691937,0.001691937,,
71,4.9,0.001626863,0.001626863,,
71,5,0.001665907,0.001665907,,
71,5.1,0.001197371,0.001197371,,
71,5.2,0.00132752,0.00132752,,
71,5.3,0.001236416,0.001236416,,
71,5.4,0.000650745,0.000650745,,
72,3,0.003279755,0.003279755,,
72,3.1,0.002407757,0.002407757,,
72,3.2,0.002928353,0.002928353,,
72,3.3,0.003162621,0.003162621,,
72,3.4,0.003162621,0.003162621,,
72,3.5,0.003735277,0.003735277,,
72,3.6,0.003631158,0.003631158,,
72,3.7,0.003097547,0.003097547,,
72,3.8,0.003175636,0.003175636,,
72,3.9,0.003214681,0.003214681,,
72,4,0.003084532,0.003084532,,
72,4.1,0.002746144,0.002746144,,
72,4.2,0.002550921,0.002550921,,
72,4.3,0.002967398,0.002967398,,
72,4.4,0.002160474,0.002160474,,
72,4.5,0.001249431,0.001249431,,
72,4.6,0.001431639,0.001431639,,
72,4.7,0.001470684,0.001470684,,
72,4.8,0.001691937,0.001691937,,
72,4.9,0.001626863,0.001626863,,
72,5,0.001665907,0.001665907,,
72,5.1,0.001197371,0.001197371,,
72,5.2,0.00132752,0.00132752,,
72,5.3,0.001236416,0.001236416,,
72,5.4,0.000650745,0.000650745,,
73,3,0.003279755,0.003279755,,
73,3.1,0.002407757,0.002407757,,
73,3.2,0.002928353,0.002928353,,
73,3.3,0.003162621,0.003162621,,
73,3.4,0.003162621,0.003162621,,
73,3.5,0.003735277,0.003735277,,
73,3.6,0.003631158,0.003631158,,
73,3.7,0.003097547,0.003097547,,
73,3.8,0.003175636,0.003175636,,
73,3.9,0.003214681,0.003214681,,
73,4,0.003084532,0.003084532,,
73,4.1,0.002746144,0.002746144,,
73,4.2,0.002550921,0.002550921,,
73,4.3,0.002967398,0.002967398,,
73,4.4,0.002160474,0.002160474,,
73,4.5,0.001249431,0.001249431,,
73,4.6,0.001431639,0.001431639,,
73,4.7,0.001470684,0.001470684,,
73,4.8,0.001691937,0.001691937,,
73,4.9,0.001626863,0.001626863,,
73,5,0.001665907,0.001665907,,
73,5.1,0.001197371,0.001197371,,
73,5.2,0.00132752,0.00132752,,
73,5.3,0.001236416,0.001236416,,
73,5.4,0.000650745,0.000650745,,
74,3,0.003279755,0.003279755,,
74,3.1,0.002407757,0.002407757,,
74,3.2,0.002928353,0.002928353,,
74,3.3,0.003162621,0.003162621,,
74,3.4,0.003162621,0.003162621,,
74,3.5,0.003735277,0.003735277,,
74,3.6,0.003631158,0.003631158,,
74,3.7,0.003097547,0.003097547,,
74,3.8,0.003175636,0.003175636,,
74,3.9,0.003214681,0.003214681,,
74,4,0.003084532,0.003084532,,
74,4.1,0.002746144,0.002746144,,
74,4.2,0.002550921,0.002550921,,
74,4.3,0.002967398,0.002967398,,
74,4.4,0.002160474,0.002160474,,
74,4.5,0.001249431,0.001249431,,
74,4.6,0.001431639,0.001431639,,
74,4.7,0.001470684,0.001470684,,
74,4.8,0.001691937,0.001691937,,
74,4.9,0.001626863,0.001626863,,
74,5,0.001665907,0.001665907,,
74,5.1,0.001197371,0.001197371,,
74,5.2,0.00132752,0.00132752,,
74,5.3,0.001236416,0.001236416,,
74,5.4,0.000650745,0.000650745,,
75,3,0.001080237,0.001080237,,
75,3.1,0.000702805,0.000702805,,
75,3.2,0.001106267,0.001106267,,
75,3.3,0.000871998,0.000871998,,
75,3.4,0.000754864,0.000754864,,
75,3.5,0.000858984,0.000858984,,
75,3.6,0.000924058,0.000924058,,
75,3.7,0.000585671,0.000585671,,
75,3.8,0.000793909,0.000793909,,
75,3.9,0.000650745,0.000650745,,
75,4,0.000572656,0.000572656,,
75,4.1,0.000559641,0.000559641,,
75,4.2,0.000676775,0.000676775,,
75,4.3,0.000598685,0.000598685,,
75,4.4,0.000494566,0.000494566,,
75,4.5,0.000143164,0.000143164,,
75,4.6,0.000312358,0.000312358,,
